Company,Company Name,ROCE,ROE,Market Cap,Stock P/E,Dividend Yield,EPS
ASAHIINDIA,Asahi India Glass Limited,12,13.2,"25,365",91.7,0.21,1.86
ASAHISONG,Asahi Songwon Colors Limited,12.3,9.4,263,12,0.68,2.99
ASAL,Automotive Stampings and Assemblies Limited,24.2,"2,332",727,35.6,0,4.71
ASALCBR,Associated Alcohols & Breweries Ltd.,20,17.3,"1,600",18.6,0.24,7.38
ASHAPURMIN,Ashapura Minechem Limited,24.9,33,"6,324",44.9,0.14,6.76
ASHIANA,Ashiana Housing Limited,3.56,2.74,"2,966",37.4,0.87,3.2
ASHIMASYN,Ashima Limited,1.83,-5.75,311,,0,-0.44
ASHOKA,Ashoka Buildcon Limited,9.86,4.75,"4,166",20.7,0,4.96
ASHOKAMET,Ashoka Metcast Limited,0.05,0.05,34.9,37.9,0,0.04
ASHOKLEY,Ashok Leyland Limited,36.5,31.4,"1,14,922",33.7,1.61,1.31
ASIANENE,Asian Energy Services Limited,16.1,12.2,"1,160",31.7,0.39,0.41
ASIANHOTNR,Asian Hotels (North) Limited,6.66,-41,674,,0,-32.66
ASIANPAINT,Asian Paints Limited,27.3,20.7,"2,33,785",58.1,1.03,10.69
ASIANTILES,Asian Granito India Limited,2.3,2.02,"1,630",61.6,0,0.34
ASKAUTOLTD,ASK Automotive Limited,29.3,22.1,"8,832",41,0.34,3.08
ASMS,Bartronics India Limited,1.42,0.91,337,279,0,0.03
ASPINWALL,Aspinwall and Company Limited,8.79,7.95,166,121,3.06,2.88
ASTEC,Astec LifeSciences Limited,-12.9,-45.4,"1,310",,0,-10.97
ASTERDM,Aster DM Healthcare Limited,139,200,"28,538",84.4,0.9,2.02
ASTRAL,Astral Limited,22.3,16.4,"39,674",70.6,0.26,5.58
ASTRAMICRO,Astra Microwave Products Limited,18,13.5,"9,325",63.3,0.23,2.18
ASTRAZEN,AstraZeneca Pharma India Limited,33.4,23.6,"21,270",92,0.38,21.69
ASTRON,Astron Paper & Board Mill Limited,-19.4,-41.7,22.2,,0,-0.97
ATALREAL,Atal Realtech Limited,10.8,6.74,335,104,0,0.09
ATAM,Atam Valves Limited,20.3,18.6,85.4,14.6,1.15,0.79
ATGL,Adani Total Gas Limited,17.4,16.7,"58,026",92.1,0.05,1.43
ATHERENERG,Ather Energy Limited,-65.7,-156,"23,624",,0,-4.05
ATL,Allcargo Terminals Limited,15,22.5,670,20.2,0,0.24
ATLANTAA,ATLANTAA LIMITED,12.6,20.9,361,11,0,-2.21
ATLANTAELE,Atlanta Electricals Limited,50.2,40.8,"5,826",37.3,0,6.43
ATLASCYCLE,Atlas Cycles (Haryana) Limited,2.27,2.3,60.8,,0,-2.31
ATUL,Atul Limited,11.9,8.64,"18,439",35.7,0.4,41.15
ATULAUTO,Atul Auto Limited,11.2,8.24,"1,132",30.3,0,4.27
