Company,Company Name,ROCE,ROE,Market Cap,Stock P/E,Dividend Yield,EPS
GINNIFILA,Ginni Filaments Limited,5.28,2.14,309,8.06,0,1.2
GIPCL,Gujarat Industries Power Company Limited,6.44,6.19,"2,207",11.7,2.87,1.37
GKENERGY,GK Energy Limited,74.3,101,"2,160",14.9,0,2.29
GKSL,Gujarat Kidney And Super Speciality Limited,19.6,16.7,828,881,0,72.5
GKWLIMITED,GKW Limited,-0.37,-0.75,990,,0,-25.98
GLAND,Gland Pharma Limited,15.8,11.6,"30,355",25.6,0.96,18.69
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,62.6,46.4,"40,650",43,1.78,15.05
GLENMARK,Glenmark Pharmaceuticals Limited,9.72,7.35,"56,722",38.5,0.13,-26.19
GLOBALE,Globale Tessile Limited,-0.47,-6.77,12,,0,-0.24
GLOBALVECT,Global Vectra Helicorp Limited,6.66,-2.97,238,,0,-4.4
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,9.24,4.67,118,18.6,0,0.08
GLOBECIVIL,Globe Civil Projects Limited,23.1,26,307,12.8,0,1
GLOBUSSPR,Globus Spirits Limited,5.8,2.54,"2,691",33.8,0.31,10.84
GLOSTERLTD,Gloster Limited,5.22,3.79,657,16,3.34,6.96
GLOTTIS,Glottis Limited,90,79.6,469,9.81,0,1.54
GMBREW,GM Breweries Limited,18.1,14.6,"2,233",13.7,0.78,18.39
GMDCLTD,Gujarat Mineral Development Corporation Limited,14.2,11,"18,492",28.1,1.74,14.79
GMMPFAUDLR,GMM Pfaudler Limited,8.19,5.47,"4,418",69.2,0.21,4.51
GMRAIRPORT,GMR AIRPORTS LIMITED,1.08,-0.55,"99,043",,0,-0.13
GMRP&UI,GMR Power and Urban Infra Limited,7.56,0.89,"7,927",,0,-0.05
GNA,GNA Axles Limited,14.3,12.5,"1,564",14.9,0.83,7.27
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,9.7,7.03,"6,900",11.1,3.87,12.05
GOACARBON,Goa Carbon Limited,-2.28,-10.3,348,,0,-25.54
GOCLCORP,GOCL Corporation Limited,9.45,15.7,"1,329",13,3.74,5.19
GOCOLORS,Go Fashion (India) Limited,15.1,14.3,"2,093",29.4,0,1.33
GODAVARIB,Godavari Biorefineries Limited,5.5,-0.41,"1,290",29.6,0,-8.33
GODFRYPHLP,Godfrey Phillips India Limited,29.4,22.2,"31,828",25.3,1.58,19.52
GODIGIT,Go Digit General Insurance Limited,10.8,11.9,"30,025",58.8,0,1.52
GODREJAGRO,Godrej Agrovet Limited,24.4,20.9,"10,281",17.7,2.07,9.21
GODREJCP,Godrej Consumer Products Limited,19.3,14.9,"1,18,405",84.9,1.71,3.74
GODREJIND,Godrej Industries Limited,8.13,9.04,"32,982","35,850",0,2.94
GODREJPROP,Godrej Properties Limited,6.46,6.02,"47,330",124,0,0.43
GOKEX,Gokaldas Exports Limited,12.1,9.68,"4,056",19.9,0,7.25
GOKUL,Gokul Refoils and Solvent Limited,2,1.57,356,97.5,0,0.04
GOKULAGRO,Gokul Agro Resources Limited,34.5,26.5,"4,823",19.8,0,2.93
GOLDIAM,Goldiam International Limited,28.4,20.6,"3,551",68.6,0.96,1.16
GOLDTECH,AION-TECH SOLUTIONS LIMITED,3.1,1.95,236,,0,0.06
GOODLUCK,Goodluck India Limited,16.1,14.5,"3,626",22.2,0.36,12.43
GOPAL,Gopal Snacks Limited,16.3,11.4,"3,751",106,0.33,1.24
GPIL,Godawari Power And Ispat limited,23.4,17.1,"16,726",21.2,0.4,3.71
GPPL,Gujarat Pipavav Port Limited,24.9,19,"8,105",18.9,4.85,3.27
GPTHEALTH,GPT Healthcare Limited,27.2,21.3,"1,043",24,1.97,1.29
GPTINFRA,GPT Infraprojects Limited,25.3,22.1,"1,314",14.5,2.88,1.55
GRANULES,Granules India Limited,10.9,9.14,"13,832",36,0.26,4.6
GRAPHITE,Graphite India Limited,10.3,8.26,"12,312",40.8,1.82,4.71
GRASIM,Grasim Industries Limited,1.52,0.35,"1,91,941",558,0.35,11.82
GRAVITA,Gravita India Limited,21.4,18.5,"11,899",39.5,0.4,9.78
GREAVESCOT,Greaves Cotton Limited,18.2,13.6,"3,843",17.4,1.21,2.26
GREENLAM,Greenlam Industries Limited,11.9,10,"6,182",46.2,0.18,0.78
GREENPANEL,Greenpanel Industries Limited,4.48,5.34,"2,740",,0.14,-0.5
GREENPLY,Greenply Industries Limited,16.6,14.1,"2,819",30.7,0.23,1.46
GREENPOWER,Orient Green Power Company Limited,0.74,0.79,"1,214",79.4,0,0
GRINDWELL,Grindwell Norton Limited,20.5,15.7,"17,112",45.7,1.12,9.49
GRINFRA,G R Infraprojects Limited,13.5,9.89,"9,424",11,1.28,13.52
GRMOVER,GRM Overseas Limited,12.1,14.6,"3,016",57,0,0.48
GROBTEA,The Grob Tea Company Limited,12.7,11.2,104,,0.34,140.41
GROWW,Billionbrains Garage Ventures Limited,65.3,50,"1,09,365",88,0,0.69
GRPLTD,GRP Limited,19.7,20.9,913,27,0.86,6.36
GRSE,Garden Reach Shipbuilders & Engineers Limited,36.6,27.6,"31,780",46.1,0.53,14.91
GRWRHITECH,Garware Hi-Tech Films Limited,21.2,15.8,"7,075",22.1,0.4,45.85
GSFC,Gujarat State Fertilizers & Chemicals Limited,6.12,4.68,"7,360",11.4,2.65,8.03
GSPL,Gujarat State Petronet Limited,9.6,7.67,"17,115",24.1,1.66,2.03
GSS,GSS Infotech Limited,0.46,0.46,37.9,35.1,0,0.06
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,-24.3,-27.2,21.2,,0,0.17
GTL,GTL Limited,,,111,,0,-2.51
GTLINFRA,GTL Infrastructure Limited,,,"1,307",,0,-0.15
GTPL,GTPL Hathway Limited,8.1,5.59,883,39,2.55,0.08
GUFICBIO,Gufic Biosciences Limited,13.2,12.3,"3,074",56.6,0.03,1.49
GUJALKALI,Gujarat Alkalies and Chemicals Limited,0.88,0.24,"3,364",62.3,3.47,2.22
GUJAPOLLO,Gujarat Apollo Industries Limited,1.23,0.38,519,577,0.5,2.43
GUJGASLTD,Gujarat Gas Limited,19.6,14.3,"29,119",25.2,1.4,3.86
GUJTHEM,Gujarat Themis Biosyn Limited,27.3,21.7,"3,573",74,0.22,1.31
GULFOILLUB,Gulf Oil Lubricants India Limited,28.3,25.5,"5,388",14.4,4.44,17.67
GULFPETRO,GP Petroleums Limited,10.8,8.38,170,6.27,0,1.07
GULPOLY,Gulshan Polyols Limited,6.31,3.92,799,18.7,0.23,2.49
GVPIL,GE Power India Limited,2.35,109,"2,027",62.4,0,4.53
GVPTECH,GVP Infotech Limited,-1.44,-1.58,130,,1.9,-4.91
GVT&D,GE Vernova T&D India Limited,54.7,40.4,"81,947",73.2,0.16,11.36
HAL,Hindustan Aeronautics Limited,33.9,26,"3,07,864",36.5,0.87,24.86
HAPPSTMNDS,Happiest Minds Technologies Limited,13.9,12.3,"6,303",30.8,1.49,3.69
HAPPYFORGE,Happy Forgings Limited,19.2,15.5,"10,084",37.1,0.3,7.79
HARIOMPIPE,Hariom Pipe Industries Limited,14.1,11.9,"1,287",20.6,0.14,3.36
HARRMALAYA,Harrisons  Malayalam Limited,11,9.55,299,10.4,0,3.47
HARSHA,Harsha Engineers International Limited,13.5,6.11,"3,414",25.9,0.27,4.29
HATHWAY,Hathway Cable & Datacom Limited,2.51,1.88,"1,898",26,0,0.07
HATSUN,Hatsun Agro Product Limited,13.1,17,"19,633",51,0.69,3.01
HAVELLS,Havells India Limited,25.6,19,"80,665",52.9,0.79,4.8
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,-0.09,-15.4,23.8,,0,-0.1
HBLENGINE,HBL Engineering Limited,27,20.2,"21,657",33,0.13,13.79
HCC,Hindustan Construction Company Limited,31.5,5.93,"5,255",60.2,0,0.14
HCG,Healthcare Global Enterprises Limited,6.52,0.14,"8,308",453,0,0.76
HCL-INSYS,HCL Infosystems Limited,-19.9,,427,,0,-0.19
HCLTECH,HCL Technologies Limited,43.1,32.6,"4,61,269",37.6,3.15,10.99
HDBFS,HDB Financial Services Limited,9.79,14.7,"58,792",25.3,0.28,7.76
HDFCAMC,HDFC Asset Management Company Limited,43.3,32.4,"1,07,745",37.5,1.77,17.98
HDFCBANK,HDFC Bank Limited,7.35,14.3,"14,36,056",19.6,1.18,12.12
HDFCLIFE,HDFC Life Insurance Company Limited,6.53,10.8,"1,58,086",83.6,0.29,1.95
HEADSUP,Heads UP Ventures Limited,10.9,9.5,18.4,3.64,0,0.35
HECPROJECT,HEC Infra Projects Limited,19,21,121,11.4,0,2.06
HEG,HEG Limited,5.19,3.4,"10,455",43.7,0.32,6.78
HEIDELBERG,HeidelbergCement India Limited,11.4,7.48,"3,821",29.7,4.17,1.1
HEMIPROP,Hemisphere Properties India Limited,-0.73,-1.99,"3,712",,0,-0.11
HERANBA,Heranba Industries Limited,9.1,5.93,898,22.6,0.46,8.01
HERITGFOOD,Heritage Foods Limited,24.8,19.5,"3,318",23.1,0.69,3.29
HEROMOTOCO,Hero MotoCorp Limited,31.5,23.8,"1,10,246",22.9,2.96,69.62
HESTERBIO,Hester Biosciences Limited,10.6,9.77,"1,266",35.8,0.47,12.54
HEXATRADEX,Hexa Tradex Limited,0.12,0.06,885,527,0,-0.15
HEXT,Hexaware Technologies Limited,32.3,25.7,"42,594",41.1,1.64,4.44
HFCL,HFCL Limited,7.9,5,"10,356",414,0.15,0.43
HGINFRA,H.G. Infra Engineering Limited,24.4,20.5,"4,171",8.4,0.32,10.33
HGM,HandsOn Global Management (HGM) Limited,16,14.2,73.7,11.6,0,1.59
HGS,Hinduja Global Solutions Limited,-3.08,-11,"1,903",,0,-5.82
HIKAL,Hikal Limited,9.85,7.39,"2,380",233,0.72,-2.81
HILINFRA,Highway Infrastructure Limited,19.6,18.8,367,12.7,0,1.34
HILTON,Hilton Metal Forging Limited,7.92,5.75,99,14.4,0,0.5
HIMATSEIDE,Himatsingka Seide Limited,7.53,7.17,"1,304",8.18,0.25,3.17
HINDALCO,Hindalco Industries Limited,12.9,8.98,"2,16,902",30.4,0.5,10.08
HINDCOMPOS,Hindustan Composites Limited,5.33,4.17,603,15.5,0.48,3.58
HINDCON,Hindcon Chemicals Limited,11.2,8.16,115,27.6,0,0.14
HINDCOPPER,Hindustan Copper Limited,23.8,18.7,"66,318",116,0.21,1.92
HINDOILEXP,Hindustan Oil Exploration Company Limited,14.3,13.4,"2,064",12.2,0,1.44
HINDPETRO,Hindustan Petroleum Corporation Limited,11.8,16.9,"90,730",5.84,2.46,19.14
HINDUNILVR,Hindustan Unilever Limited,27.6,20.6,"5,53,235",52.6,1.81,11.45
HINDWAREAP,Hindware Home Innovation Limited,-11.1,-17.6,"1,785",,0,0.09
HINDZINC,Hindustan Zinc Limited,60.7,72.4,"2,69,575",23.1,4.43,9.18
HIRECT,Hind Rectifiers Limited,21.6,25.7,"2,164",45.4,0.17,8.58
HISARMETAL,Hisar Metal Industries Limited,9.37,5.06,85.6,34.7,0.62,1.57
HITECH,Hi-Tech Pipes Limited,11.3,7.47,"1,516",22.5,0.03,0.81
HITECHCORP,Hitech Corporation Limited,6.86,2.61,270,37.6,0.65,0.88
HLEGLAS,HLE Glascoat Limited,7.52,4.74,"2,679",68.3,0.3,1.16
HLVLTD,HLV LIMITED,5.61,5.57,559,54.6,0,-0.15
HMAAGRO,HMA Agro Industries Limited,9.53,7.88,"1,278",14.5,1.17,0.96
HMVL,Hindustan Media Ventures Limited,5.33,4.91,530,6.61,0,0.09
HNDFDS,Hindustan Foods Limited,14.8,14,"5,503",46.4,0,2.59
HOMEFIRST,Home First Finance Company India Limited,11.4,16.5,"12,260",24.7,0.31,13.49
HONASA,Honasa Consumer Limited,7.44,5.51,"8,998",72.3,0,1.18
HONAUT,Honeywell Automation India Limited,18.4,13.7,"29,366",56.9,0.33,135.16
HONDAPOWER,Honda India Power Products Limited,12.8,9.47,"2,180",28.8,4.66,11.01
HPAL,HP Adhesives Limited,13.6,9.82,355,22.1,1.04,0.39
HPIL,Hindprakash Industries Limited,5.23,2,152,158,0,0.12
HPL,HPL Electric & Power Limited,13.9,10.2,"2,133",24.3,0.31,3.15
HSCL,Himadri Speciality Chemical Limited,22.6,16.8,"23,183",32,0.13,3.86
HTMEDIA,HT Media Limited,3.35,-1.61,528,,0,-0.77
HUBTOWN,Hubtown Limited,6.24,3.62,"2,969",26.2,0,0.18
HUDCO,Housing & Urban Development Corporation Limited,9.62,15.7,"38,376",13.7,2.13,3.56
HUHTAMAKI,Huhtamaki India Limited,7.14,5.15,"1,352",13.7,1.09,4.87
HYBRIDFIN,Hybrid Financial Services Limited,23.9,29.2,67.7,45.7,0,0.05
HYUNDAI,Hyundai Motor India Limited,54.2,42.2,"1,76,078",31.4,0.98,19.33
IBULLSLTD,Indiabulls Limited,-1.55,,"2,487",,0,-6.48
ICDSLTD,ICDS Limited,10.5,4.6,54.6,105,0,-0.36
ICEMAKE,Ice Make Refrigeration Limited,20.6,19.6,"1,146",78.8,0.31,0.92
ICICIAMC,ICICI Prudential Asset Management Company Limited,111,82.8,"1,48,124",50.5,0.5,18.55
ICICIBANK,ICICI Bank Limited,7.61,17.8,"9,71,341",19.8,0.8,15.83
ICICIGI,ICICI Lombard General Insurance Company Limited,24.9,18.8,"90,299",33,0.68,13.23
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,8.86,7.42,"91,593",66.5,0.14,2.7
ICIL,Indo Count Industries Limited,13.7,11.1,"4,725",30,0.84,2.13
ICRA,ICRA Limited,24.3,19.2,"6,046",45.2,0.95,30.32
IDBI,IDBI Bank Limited,6.76,13.6,"1,06,986",11.1,2.08,1.8
IDEA,Vodafone Idea Limited,-2.07,,"1,20,477",,0,-0.49
IDEAFORGE,Ideaforge Technology Limited,-8.06,-8.45,"1,981",,0,-7.25
IDFCFIRSTB,IDFC First Bank Limited,6.23,4.32,"71,842",49.3,0.3,0.48
IEX,Indian Energy Exchange Limited,53.6,40.5,"11,289",24.4,2.39,1.29
IFBAGRO,IFB Agro Industries Limited,6.75,4.35,"1,234",22.2,0,25.4
IFBIND,IFB Industries Limited,19.8,16.2,"4,579",34.8,0,6.05
IFCI,IFCI Limited,14.9,2.97,"14,875",49.2,0,0.03
IFGLEXPOR,IFGL Refractories Limited,10.7,8.49,"1,296",25.2,1.95,2.06
IGARASHI,Igarashi Motors India Limited,7.73,5.3,"1,260",82.5,0.61,1.44
IGCL,Indogulf Cropsciences Limited,13.2,12.2,435,14,0,3.08
IGIL,International Gemmological Institute (India) Limited,30.7,23.2,"13,421",24.6,0.77,3.04
IGL,Indraprastha Gas Limited,20.8,15.7,"24,857",18.2,2.35,2.66
IGPL,IG Petrochemicals Limited,11.4,8.53,"1,131",27,2.72,0.46
IIFL,IIFL Finance Limited,6.57,4.2,"22,584",33.1,0.73,7.08
IIFLCAPS,IIFL Capital Services Limited,34.3,31.5,"10,345",21.3,0.92,2.94
IITL,Industrial Investment Trust Limited,0.97,0.78,328,,0,-1.53
IKIO,IKIO Technologies Limited,7.11,4.94,"1,162",70.6,0,0.63
IKS,Inventurus Knowledge Solutions Limited,35,32.3,"26,785",61.7,0,8.07
IMAGICAA,Imagicaaworld Entertainment Limited,7.44,7.33,"2,868",92.3,0,-0.53
IMFA,Indian Metals & Ferro Alloys Limited,21.4,17.2,"6,219",18.8,1.69,18.31
IMPAL,India Motor Parts and Accessories Limited,4.38,3.5,"1,334",15,2.84,13.77
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,9.73,8.97,179,12.7,0,0.32
INDBANK,Indbank Merchant Banking Services Limited,13.4,9.67,160,22.6,0,0.43
INDGN,Indegene Limited,16.6,12.6,"11,720",60.5,0.43,1.45
INDHOTEL,The Indian Hotels Company Limited,16.6,13.1,"95,726",64.1,0.34,2.03
INDIACEM,The India Cements Limited,-5.85,-9.32,"14,254",,0,-0.18
INDIAGLYCO,India Glycols Limited,11.9,10,"5,877",29.2,0.58,8.71
INDIAMART,Indiamart Intermesh Limited,37.7,30,"13,207",19.2,1.37,34.3
INDIANB,Indian Bank,6.38,17.1,"1,22,823",10.2,1.79,22.73
INDIANCARD,Indian Card Clothing Company Limited,7.38,6.59,134,8.45,0,8.25
INDIANHUME,Indian Hume Pipe Company Limited,11.9,9.17,"2,021",18.9,0.48,6.58
INDIASHLTR,India Shelter Finance Corporation Limited,12.6,15.1,"8,676",19.5,0.63,11.24
INDIGO,InterGlobe Aviation Limited,17.3,104,"1,78,060",39.3,0.22,15.85
INDIGOPNTS,Indigo Paints Limited,19.5,14.6,"4,992",34.4,0.34,5.35
INDIQUBE,Indiqube Spaces Limited,4.76,-234,"3,742",,0,-1.42
INDNIPPON,India Nippon Electricals Limited,15.4,12.3,"1,623",18.2,1.74,10.26
INDOAMIN,Indo Amines Limited,19.4,21.4,817,11.1,0.45,2.84
INDOBORAX,Indo Borax & Chemicals Limited,18.5,13.4,798,20.7,0.4,2.84
INDOCO,Indoco Remedies Limited,2.75,-0.89,"2,011",,0.09,1.63
INDOFARM,Indo Farm Equipment Limited,7.24,5.53,861,33.1,0,0.92
INDORAMA,Indo Rama Synthetics (India) Limited,10.7,4.76,"1,158",9.16,0,0.88
INDOSTAR,IndoStar Capital Finance Limited,8.14,1.61,"3,363",,0,0.77
INDOTECH,Indo Tech Transformers Limited,37.8,25.7,"1,430",17,0,23.33
INDOTHAI,Indo Thai Securities Limited,9.99,7.28,"3,113",81.3,0.04,1.36
INDOUS,Indo Us Biotech Limited,21.2,23,263,17.7,0.19,1.5
INDOWIND,Indowind Energy Limited,1.48,0.06,195,,0,0.11
INDRAMEDCO,Indraprastha Medical Corporation Limited,39.1,30,"3,375",19.3,1.19,5.4
INDSWFTLAB,Ind-Swift Laboratories Limited,1.37,0.82,921,30.4,0,1.07
INDTERRAIN,Indian Terrain Fashions Limited,-5.17,-22.7,170,,0,-0.07
INDUSINDBK,IndusInd Bank Limited,6.49,4.15,"69,688",,0,2.07
INDUSTOWER,Indus Towers Limited,29,32.4,"1,17,240",12.6,0,6.96
INFIBEAM,Infibeam Avenues Limited,7.32,5.13,"5,563",42.8,0,0.21
INFOBEAN,InfoBeans Technologies Limited,21.3,16.1,"1,981",32.6,0.12,6.96
INFOMEDIA,Infomedia Press Limited,,,32.4,,0,-0.18
INFY,Infosys Limited,40.6,30.3,"6,63,203",23.2,2.59,18.16
INGERRAND,Ingersoll Rand (India) Limited,60,45,"10,512",39.7,2.43,19.12
INNOVACAP,Innova Captab Limited,11.6,11.6,"3,999",50.2,0.3,4.88
INNOVANA,Innovana Thinklabs Limited,32.4,25,711,23.3,0,4.44
INOXGREEN,Inox Green Energy Services Limited,3.6,2.01,"6,849",149,0,0.32
INOXINDIA,INOX India Limited,37,27.9,"10,108",43,0.18,6.46
INOXWIND,Inox Wind Limited,11.8,10.2,"18,596",31.7,0,1.43
INSECTICID,Insecticides (India) Limited,17.2,13.3,"1,867",13.2,0.31,19.01
INSPIRISYS,Inspirisys Solutions Limited,18,20.2,330,10.1,0,1.78
INTELLECT,Intellect Design Arena Limited,14.2,10.5,"12,816",51.4,0.44,4.97
INTENTECH,Intense Technologies Limited,11.3,8.45,269,332,0.9,0.06
INTERARCH,Interarch Building Solutions Limited,24.8,18,"3,277",25.7,0.65,19.25
INTLCONV,International Conveyors Limited,26.7,25,507,8.09,0.95,-2.96
INVENTURE,Inventure Growth & Securities Limited,1.65,0.02,113,,0,-0.01
IOB,Indian Overseas Bank,5.95,11,"68,399",14.4,0,0.71
IOC,Indian Oil Corporation Limited,7.26,6.41,"2,29,753",9.93,3.13,5.39
IOLCP,IOL Chemicals and Pharmaceuticals Limited,8.86,6.13,"2,172",18.7,1.1,1.02
IONEXCHANG,ION Exchange (India) Limited,22.6,18.3,"5,136",26.5,0.46,1.64
IPCALAB,IPCA Laboratories Limited,17.6,12.6,"37,320",38.6,0.27,12.01
IPL,India Pesticides Limited,13,9.73,"1,806",16.9,0.49,2.78
IRB,IRB Infrastructure Developers Limited,7.21,8.13,"24,977",27.7,0.75,0.31
IRCON,Ircon International Limited,14.7,11.6,"15,420",22.3,1.68,1.96
IRCTC,Indian Railway Catering And Tourism Corporation Limited,49,37.2,"49,692",37.2,1.3,4.27
IREDA,Indian Renewable Energy Development Agency Limited,9.37,18,"36,998",19.6,0,2.08
IRFC,Indian Railway Finance Corporation Limited,5.83,12.8,"1,57,018",22.4,1.3,1.38
IRIS,IRIS RegTech Solutions Limited,27.8,20.6,620,76,0,54.06
IRISDOREME,Iris Clothings Limited,17.9,17.3,620,45.6,0,0.22
IRMENERGY,IRM Energy Limited,8.36,4.95,994,22.7,0.6,3.46
ISFT,Intrasoft Technologies Limited,2.53,0.46,140,129,0,0.3
ISGEC,Isgec Heavy Engineering Limited,17,12.7,"5,547",19,0.69,11.47
ISHANCH,Ishan Dyes and Chemicals Limited,4.04,1.05,152,,0,-1.38
ITC,ITC Limited,36.9,27.9,"4,03,253",20,4.41,4.06
ITCHOTELS,ITC Hotels Limited,9.74,7.04,"37,492",44.1,0,1.18
ITDC,India Tourism Development Corporation Limited,27.4,22.4,"4,527",61.3,0.54,1.96
ITI,ITI Limited,-1.33,-16.2,"27,922",,0,-0.56
IVALUE,Ivalue Infosolutions Limited,26.5,19.9,"1,298",14.3,0,5.13
IVC,IL&FS Investment Managers Limited,-1.57,-2.16,242,8.16,6.49,0.89
IVP,IVP Limited,9.99,8.44,152,10.9,0.71,4.48
IXIGO,Le Travenues Technology Limited,14.7,11.5,"9,045",112,0,0.62
IZMO,IZMO Limited,0.68,0.57,904,"1,116",0,0.17
J&KBANK,The Jammu & Kashmir Bank Limited,6.14,15.7,"11,524",5.32,2.05,5.33
JAGRAN,Jagran Prakashan Limited,15.9,11.9,"1,455",5.78,8.95,2.84
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,23,18.6,"1,094",25.7,1.52,1.64
JAIBALAJI,Jai Balaji Industries Limited,36.1,30.7,"6,227",21.3,0,0.29
JAICORPLTD,Jai Corp Limited,4.83,4.9,"1,980",12.1,0.45,1.4
JAINREC,Jain Resource Recycling Limited,27.2,39,"13,805",54.4,0,2.86
JAIPURKURT,Nandani Creation Limited,11.2,7.85,76.6,41.4,0,0.14
JAMNAAUTO,Jamna Auto Industries Limited,22,21.2,"4,954",23,1.65,1.17
JARO,Jaro Institute of Technology Management and Research Limited,39.9,35.8,"1,110",22.3,0.41,3.17
JASH,Jash Engineering Limited,22,19.1,"2,407",42.1,0.53,2.77
JAYAGROGN,Jayant Agro Organics Limited,16.8,12.8,528,9.16,1.42,4.11
JAYBARMARU,Jay Bharat Maruti Limited,7.87,5.61,909,14.1,0.82,1.67
JAYKAY,Jaykay Enterprises Limited,2.74,2.2,"2,210",110,0,0.08
JAYNECOIND,Jayaswal Neco Industries Limited,12.6,4.86,"7,109",18.6,0,0.76
JAYSREETEA,Jayshree Tea & Industries Limited,4.09,11,238,10.9,0.63,6.6
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,25.9,20.2,"30,098",41.4,0.82,11.44
JBMA,JBM Auto Limited,14.3,12.1,"13,294",90.5,0.15,1.91
JGCHEM,J.G.Chemicals Limited,8.71,6.35,"1,248",61.1,0.32,1.06
JHS,JHS Svendgaard Laboratories Limited,-5.17,-10.8,87.7,,0,-0.02
JINDALPHOT,Jindal Photo Limited,0.81,-1.41,"1,461",337,0,6.59
JINDALPOLY,Jindal Poly Films Limited,6.08,4.87,"1,728",9.93,1.51,-3.44
JINDALSAW,Jindal Saw Limited,20.9,17.4,"11,242",9.85,1.13,3.55
JINDALSTEL,JINDAL STEEL LIMITED,11.7,9.37,"1,15,566",23.8,0.17,9.03
JINDRILL,Jindal Drilling And Industries Limited,13.8,11.1,"1,402",7.3,0.21,-12.7
JINDWORLD,Jindal Worldwide Limited,10.3,9.9,"2,534",37.1,0,0.15
JIOFIN,Jio Financial Services Limited,2.64,2.22,"1,61,592",232,0.2,0.12
JISLDVREQS,Jain Irrigation Systems Limited,,,45.2,,0,10.58
JISLJALEQS,Jain Irrigation Systems Limited,4.39,0.43,"2,655",55.4,0,0.03
JITFINFRA,JITF Infralogistics Limited,0.13,0.09,739,"3,696",0,0.01
JKCEMENT,JK Cement Limited,14.5,14.6,"42,536",38.7,0.27,23.37
JKIL,J.Kumar Infraprojects Limited,20,13.8,"4,328",10.6,0.7,12.09
JKIPL,Jinkushal Industries Limited,24.2,31.4,297,22,0,0.92
JKLAKSHMI,JK Lakshmi Cement Limited,10.6,8.86,"9,581",20.6,0.84,6.63
JKPAPER,JK Paper Limited,8.72,7.03,"5,568",21.1,1.55,3.34
JKTYRE,JK Tyre & Industries Limited,12.1,9.71,"14,900",30.6,0.6,6.12
JLHL,Jupiter Life Line Hospitals Limited,17.7,13.5,"8,549",44.6,0.08,8.33
JMA,Jullundur Motor Agency (Delhi) Limited,13.4,9.93,175,7.8,2.57,2.56
JMFINANCIL,JM Financial Limited,12.8,12.6,"12,365",21.3,2.11,2.57
JNKINDIA,JNK India Limited,14.9,8.63,"1,276",41.3,0.14,2.43
JOCIL,Jocil Limited,0.71,0.48,114,59.9,0.39,2.11
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,4.41,8.15,"1,041",16.4,0,14.12
JPPOWER,Jaiprakash Power Ventures Limited,10.2,6.83,"10,328",13.9,0,0.27
JSFB,Jana Small Finance Bank Limited,8.15,13,"3,794",9.24,0,7.13
JSL,Jindal Stainless Limited,19.9,17.3,"66,885",24.2,0.38,8.08
JSLL,Jeena Sikho Lifecare Limited,50.2,37.9,"8,283",53.8,0.17,4.73
JSWCEMENT,JSW Cement Limited,7.16,3.38,"15,563",80.7,0,0.7
JSWENERGY,JSW Energy Limited,5.82,6.24,"80,642",89.7,0.44,0.37
JSWHL,JSW Holdings Limited,0.85,0.64,"19,758",165,0,17.68
JSWINFRA,JSW Infrastructure Limited,9.32,6.93,"54,180",175,0.31,0.15
JSWSTEEL,JSW Steel Limited,10.2,8.89,"2,97,465",41.3,0.23,3.1
JTEKTINDIA,Jtekt India Limited,11.2,8.68,"3,841",54.9,0.51,0.66
JTLIND,JTL INDUSTRIES LIMITED,13,9.8,"2,646",33.7,0.17,0.68
JUBLCPL,Jubilant Agri and Consumer Products Limited,33.1,32.1,"3,235",25.8,0,31.11
JUBLFOOD,Jubilant Foodworks Limited,11,9.82,"32,712",137,0.25,0.97
JUBLINGREA,Jubilant Ingrevia Limited,12.8,11.2,"10,054",36.8,0.79,2.76
JUBLPHARMA,Jubilant Pharmova Limited,2.91,1.04,"15,684",,0.53,-0.4
JUNIPER,Juniper Hotels Limited,6.38,3.01,"5,105",39.8,0,1.05
JUSTDIAL,Just Dial Limited,7.11,6.18,"5,685",9.97,0,13.87
JWL,Jupiter Wagons Limited,21.5,17,"13,840",49.3,0.31,1.24
JYOTHYLAB,Jyothy Labs Limited,37.1,29,"9,074",25.8,1.42,2.39
JYOTICNC,Jyoti CNC Automation Limited,21.5,16.6,"18,305",52.3,0,3.47
JYOTISTRUC,Jyoti Structures Limited,1.59,12.1,"1,152",23.1,0,0.14
KABRAEXTRU,Kabra Extrusion Technik Limited,7.9,6.02,689,,1.26,-1.27
KAJARIACER,Kajaria Ceramics Limited,16.8,10.8,"14,281",43.4,0.99,7.58
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,-3.11,-6.15,83.2,,2.79,-14.78
KALAMANDIR,Sai Silks (Kalamandir) Limited,12.4,7.78,"1,723",14.1,0.9,2.49
KALPATARU,Kalpataru Limited,6.2,1.26,"6,839",,0,-0.29
KALYANIFRG,Kalyani Forge Limited,12.3,9.77,221,29,0.66,5.91
KALYANKJIL,Kalyan Jewellers India Limited,15.7,15.5,"37,455",40.6,0.41,2.54
